cat_name,active
Computer Anatomy,1
Data Types,1
Variables,1
Functions,1
Boolean Logic,1
Conditionals,1
Loops,1
Data Structures,1
Lists,1
Dictionaries,1
Working with Files,1
Exception Handling,1
Quality Assurance (QA),1
Object-Oriented Programming,1
Recursion,1
Databases,1
